,Unnamed: 0,Id,Country,NER
0,0,Brasil,Brasil,Brasil
1,3,India,India,India
2,4,4,India,LOCATION
3,5,France,France,France
4,6,England,England,England
5,7,America,America,America
6,8,America,America,America
7,10,America,America,America
8,11,11,Antarctica,LOCATION
9,14,Holland,Holland,Holland
10,15,Pakistani,Pakistani,Pakistani
11,17,America,America,America
12,18,18,Scotland,LOCATION
13,19,United Kingdom,United Kingdom,United Kingdom
14,20,Canada,Canada,Canada
15,21,21,Canada,LOCATION
16,22,United Kingdom,United Kingdom,United Kingdom
17,23,United Kingdom,United Kingdom,United Kingdom
18,25,America,America,America
19,26,America,America,America
20,27,America,America,America
21,29,America,America,America
22,32,America,America,America
23,33,America,America,America
24,35,35,Venezuela,LOCATION
25,36,America,America,America
26,38,America,America,America
27,39,England,England,England
28,40,United Kingdom,United Kingdom,United Kingdom
29,41,England,England,England
30,42,42,England,LOCATION
31,43,43,England,LOCATION
32,45,United Kingdom,United Kingdom,United Kingdom
33,46,Brasil,Brasil,Brasil
34,47,47,Brasil,LOCATION
35,48,England,England,England
36,49,India,India,India
37,50,50,India,LOCATION
38,51,51,Colombia,LOCATION
39,52,America,America,America
40,53,America,America,America
41,54,Canada,Canada,Canada
42,55,55,Canada,LOCATION
43,56,Canada,Canada,Canada
44,57,United Kingdom,United Kingdom,United Kingdom
45,58,58,Columbia,LOCATION
46,59,England,England,England
47,60,60,England,LOCATION
48,61,Germany,Germany,Germany
49,64,64,Venezuela,LOCATION
50,65,65,Georgia,LOCATION
51,66,America,America,America
52,67,England,England,England
53,68,68,England,LOCATION
54,70,Brasil,Brasil,Brasil
55,71,America,America,America
56,72,America,America,America
57,73,United Kingdom,United Kingdom,United Kingdom
58,74,74,America,LOCATION
59,76,America,America,America
60,78,France,France,France
61,79,79,France,LOCATION
62,80,America,America,America
63,83,America,America,America
64,85,Canada,Canada,Canada
65,86,America,America,America
66,88,88,Kenya,LOCATION
67,89,England,England,England
68,90,Holland,Holland,Holland
69,92,America,America,America
70,95,America,America,America
71,97,America,America,America
72,102,102,America,LOCATION
73,103,England,England,England
74,104,Canada,Canada,Canada
75,105,United Kingdom,United Kingdom,United Kingdom
76,106,106,Columbia,LOCATION
77,107,107,Ghana,LOCATION
78,111,111,England,LOCATION
79,112,America,America,America
80,113,Dominican Republic,Dominican Republic,Dominican Republic
81,116,116,Venezuela,LOCATION
82,117,Argentina,Argentina,Argentina
83,119,America,America,America
84,122,America,America,America
85,123,America,America,America
86,124,124,Canada,LOCATION
87,126,America,America,America
88,128,128,India,LOCATION
89,129,129,America,LOCATION
90,United Arab Emirates ,United Arab Emirates ,United Arab Emirates ,United Arab Emirates 
91,131,France,France,France
92,132,132,France,LOCATION
93,134,America,America,America
95,136,136,Colombia,LOCATION
97,138,United Kingdom,United Kingdom,United Kingdom
99,140,140,Spain,LOCATION
100,142,United Kingdom,United Kingdom,United Kingdom
101,143,143,Canada,LOCATION
102,144,America,America,America
105,America,America,America,America
106,148,148,Bolivia,LOCATION
108,150,United Kingdom,United Kingdom,United Kingdom
109,America,America,America,America
110,America,America,America,America
111,France,France,France,France
112,154,Holland,Holland,Holland
113,155,America,America,America
114,156,America,America,America
115,157,England,England,England
116,158,158,England,LOCATION
117,America,America,America,America
119,England,England,England,England
120,America,America,America,America
121,165,United Kingdom,United Kingdom,United Kingdom
122,America,America,America,America
123,167,America,America,America
124,168,America,America,America
127,171,171,Chile,LOCATION
128,America,America,America,America
130,174,Brasil,Brasil,Brasil
131,175,175,Brasil,LOCATION
132,England,England,England,England
133,America,America,America,America
134,America,America,America,America
135,180,America,America,America
138,184,America,America,America
139,185,185,Canada,LOCATION
140,America,America,America,America
142,188,America,America,America
143,189,America,America,America
144,191,America,America,America
145,192,America,America,America
146,America,America,America,America
149,America,America,America,America
150,America,America,America,America
151,198,America,America,America
152,India,India,India,India
153,America,America,America,America
155,America,America,America,America
156,204,America,America,America
157,Colombia,Colombia,Colombia,Colombia
158,America,America,America,America
159,207,207,Colombia,LOCATION
160,209,America,America,America
161,210,America,America,America
162,America,America,America,America
163,America,America,America,America
164,213,213,Nigeria,LOCATION
165,Canada,Canada,Canada,Canada
166,Canada,Canada,Canada,Canada
167,Czech Republic,Czech Republic,Czech Republic,Czech Republic
169,218,America,America,America
170,220,United Kingdom,United Kingdom,United Kingdom
172,America,America,America,America
174,224,America,America,America
175,America,America,America,America
176,226,America,America,America
178,228,America,America,America
179,Namibia,Namibia,Namibia,Namibia
180,231,Brasil,Brasil,Brasil
181,232,232,Brasil,LOCATION
183,234,America,America,America
184,Germany,Germany,Germany,Germany
185,236,United Kingdom,United Kingdom,United Kingdom
187,239,America,America,America
189,241,241,England,LOCATION
190,England,England,England,England
194,246,America,America,America
196,248,248,Uruguay,LOCATION
197,Germany,Germany,Germany,Germany
198,252,America,America,America
199,America,America,America,America
201,255,America,America,America
202,America,America,America,America
204,259,United Kingdom,United Kingdom,United Kingdom
205,260,United Kingdom,United Kingdom,United Kingdom
207,America,America,America,America
209,America,America,America,America
210,266,266,India,LOCATION
211,Colombia,Colombia,Colombia,Colombia
212,America,America,America,America
213,269,269,Colombia,LOCATION
215,271,England,England,England
216,272,United Kingdom,United Kingdom,United Kingdom
217,273,America,America,America
218,275,America,America,America
219,276,America,America,America
221,278,America,America,America
222,America,America,America,America
223,281,America,America,America
224,Georgia,Georgia,Georgia,Georgia
225,283,Holland,Holland,Holland
226,284,Holland,Holland,Holland
227,Mexico,Mexico,Mexico,Mexico
230,289,America,America,America
231,America,America,America,America
233,293,293,England,LOCATION
234,295,America,America,America
238,300,300,Bolivia,LOCATION
239,302,America,America,America
240,America,America,America,America
242,305,305,India,LOCATION
243,306,306,Scotland,LOCATION
246,309,309,Australia,LOCATION
248,311,311,Portugal,LOCATION
251,316,America,America,America
252,319,319,Venezuela,LOCATION
253,320,320,Colombia,LOCATION
254,America,America,America,America
257,America,America,America,America
258,325,United Kingdom,United Kingdom,United Kingdom
259,America,America,America,America
260,327,Canada,Canada,Canada
261,328,United Kingdom,United Kingdom,United Kingdom
262,329,329,Columbia,LOCATION
263,330,America,America,America
264,America,America,America,America
265,332,America,America,America
266,334,America,America,America
267,America,America,America,America
268,337,337,Nigeria,LOCATION
269,338,338,Chile,LOCATION
270,South Africa,South Africa,South Africa,South Africa
272,America,America,America,America
273,United Kingdom,United Kingdom,United Kingdom,United Kingdom
276,348,America,America,America
279,America,America,America,America
281,353,America,America,America
284,America,America,America,America
285,357,357,Lantana,LOCATION
286,America,America,America,America
288,360,America,America,America
289,361,America,America,America
291,363,363,Scotland,LOCATION
292,364,England,England,England
293,365,United Kingdom,United Kingdom,United Kingdom
294,366,366,Georgia,LOCATION
295,367,America,America,America
296,369,369,England,LOCATION
301,376,England,England,England
302,378,378,England,LOCATION
304,America,America,America,America
306,383,America,America,America
307,384,384,Mexico,LOCATION
308,385,Holland,Holland,Holland
309,America,America,America,America
310,387,United Kingdom,United Kingdom,United Kingdom
311,388,America,America,America
312,Spain,Spain,Spain,Spain
313,390,390,Argentina,LOCATION
314,United Arab Emirates ,United Arab Emirates ,United Arab Emirates ,United Arab Emirates 
315,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates
319,Nigeria,Nigeria,Nigeria,Nigeria
320,America,America,America,America
321,399,America,America,America
322,400,400,Colombia,LOCATION
324,America,America,America,America
325,404,404,Brazil,LOCATION
326,405,England,England,England
327,South Africa,South Africa,South Africa,South Africa
328,411,411,Argentina,LOCATION
330,America,America,America,America
331,Canada,Canada,Canada,Canada
332,Canada,Canada,Canada,Canada
336,420,America,America,America
337,423,423,Columbia,LOCATION
338,India,India,India,India
339,425,425,India,LOCATION
340,England,England,England,England
342,India,India,India,India
344,431,America,America,America
345,432,432,Germany,LOCATION
346,America,America,America,America
347,America,America,America,America
348,436,America,America,America
349,America,America,America,America
350,438,America,America,America
352,440,440,America,LOCATION
353,441,America,America,America
354,America,America,America,America
356,444,United Kingdom,United Kingdom,United Kingdom
358,446,446,India,LOCATION
359,England,England,England,England
362,450,America,America,America
363,451,America,America,America
364,452,America,America,America
365,456,America,America,America
366,America,America,America,America
367,459,Brasil,Brasil,Brasil
368,460,460,Brasil,LOCATION
369,America,America,America,America
374,466,466,Japan,LOCATION
376,468,America,America,America
377,Colombia,Colombia,Colombia,Colombia
378,America,America,America,America
379,471,471,Colombia,LOCATION
380,472,472,Argentina,LOCATION
381,473,473,America,LOCATION
382,Peru,Peru,Peru,Peru
383,Scotland,Scotland,Scotland,Scotland
384,America,America,America,America
385,477,America,America,America
386,478,Canada,Canada,Canada
387,America,America,America,America
388,480,America,America,America
389,America,America,America,America
392,England,England,England,England
395,487,487,France,LOCATION
397,490,America,America,America
