,sentiment
0,0.2023
1,0.0
2,0.0
3,-0.6597
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.5574
10,0.0
11,0.0
12,0.0
13,0.0
14,-0.5859
15,0.6124
16,0.0
17,0.0
18,-0.5574
19,-0.296
20,0.0
21,0.3612
22,0.6523
23,0.3612
24,-0.6115
25,0.0
26,0.0
27,0.4588
28,0.4466
29,0.0
30,-0.3182
31,-0.7717
32,-0.3612
33,0.0
34,0.0
35,0.0
36,-0.5719
37,0.4019
38,0.0
39,0.0
40,0.3612
41,-0.2732
42,0.2263
43,-0.5994
44,-0.6707
45,0.0
46,0.6124
47,0.4939
48,0.0
49,0.0
50,0.0
51,0.5719
52,-0.3818
53,0.0
54,0.8176
55,0.5255
56,0.0
57,-0.8316
58,-0.0516
59,0.0
60,-0.6801
61,-0.8625
62,0.0
63,-0.5994
64,-0.4939
65,0.0
66,0.7096
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.5927
75,0.0
76,-0.25
77,0.0
78,-0.34
79,0.3612
80,-0.4939
81,0.4767
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,-0.296
89,-0.6597
90,0.0
91,0.0
92,-0.7096
93,-0.0516
94,-0.5267
95,0.0
96,0.128
97,0.0
98,0.0772
99,0.6124
100,0.6808
101,0.34
102,0.4767
103,0.0
104,0.0
105,0.0
106,0.4404
107,0.0
108,0.0
109,0.3612
110,-0.1431
111,-0.5719
112,0.0377
113,0.0
114,0.0
115,-0.5994
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.4404
122,-0.2732
123,0.0
124,0.5574
125,-0.7061
126,-0.6523
127,0.0
128,0.5106
129,-0.5994
130,0.0
131,0.802
132,0.0
133,-0.1513
134,0.802
135,0.4767
136,0.0
137,0.2023
138,-0.7717
139,0.0
140,0.0
141,0.34
142,0.4559
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.4767
150,-0.743
151,0.0
152,-0.1779
153,0.3818
154,0.0
155,0.3818
156,0.0
157,0.0
158,0.5508
159,0.3062
160,0.0
161,0.0
162,0.0
163,0.0
164,-0.2023
165,0.0
166,0.0
167,-0.5267
168,-0.8479
169,-0.1027
170,0.0
171,0.0
172,0.9168
173,-0.34
174,0.4404
175,0.0
176,-0.296
177,-0.296
178,-0.6115
179,0.0
180,0.0
181,0.0
182,0.2732
183,-0.5859
184,0.0
185,0.7983
186,-0.4574
187,0.0
188,0.128
189,0.1531
190,0.0
191,-0.5719
192,0.0
193,-0.2263
194,0.802
195,-0.836
196,0.5411
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,-0.5267
204,0.0
205,0.0
206,-0.8625
207,0.0
208,0.2732
209,-0.296
210,-0.128
211,-0.2023
212,-0.4767
213,-0.6597
214,0.0
215,0.7096
216,0.802
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,-0.296
224,-0.4404
225,0.0
226,0.0
227,-0.4939
228,0.1027
229,0.0
230,0.0
231,0.0
232,0.0
233,0.3182
234,0.0
235,-0.8481
236,-0.5574
237,0.0
238,0.0
239,-0.5859
240,-0.1027
241,-0.5994
242,-0.3612
