,Location,Latitude,Longitude,Metric
0,Brasil,-10.3333333,-53.2,32
1,India,22.3511148,78.6677428,66
2,India,22.3511148,78.6677428,66
3,France,46.603354,1.8883335,45
4,England,52.5310214,-1.2649062,118
5,America,37.09024,-95.712891,628
6,America,37.09024,-95.712891,628
7,America,37.09024,-95.712891,628
8,Antarctica,-72.8438691,0.0,1
9,Holland,52.5001698,5.7480821,12
10,Pakistani,30.3308401,71.247499,1
11,America,37.09024,-95.712891,628
12,Scotland,56.7861112,-4.1140518,24
13,United Kingdom,54.7023545,-3.2765753,62
14,Canada,61.0666922,-107.9917071,70
15,Canada,61.0666922,-107.9917071,70
16,United Kingdom,54.7023545,-3.2765753,62
17,United Kingdom,54.7023545,-3.2765753,62
18,America,37.09024,-95.712891,628
19,America,37.09024,-95.712891,628
20,America,37.09024,-95.712891,628
21,America,37.09024,-95.712891,628
22,America,37.09024,-95.712891,628
23,America,37.09024,-95.712891,628
24,Venezuela,8.0018709,-66.1109318,16
25,America,37.09024,-95.712891,628
26,America,37.09024,-95.712891,628
27,England,52.5310214,-1.2649062,118
28,United Kingdom,54.7023545,-3.2765753,62
29,England,52.5310214,-1.2649062,118
30,England,52.5310214,-1.2649062,118
31,England,52.5310214,-1.2649062,118
32,United Kingdom,54.7023545,-3.2765753,62
33,Brasil,-10.3333333,-53.2,32
34,Brasil,-10.3333333,-53.2,32
35,England,52.5310214,-1.2649062,118
36,India,22.3511148,78.6677428,66
37,India,22.3511148,78.6677428,66
38,Colombia,2.8894434,-73.783892,14
39,America,37.09024,-95.712891,628
40,America,37.09024,-95.712891,628
41,Canada,61.0666922,-107.9917071,70
42,Canada,61.0666922,-107.9917071,70
43,Canada,61.0666922,-107.9917071,70
44,United Kingdom,54.7023545,-3.2765753,62
45,Columbia,2.8894434,-73.783892,11
46,England,52.5310214,-1.2649062,118
47,England,52.5310214,-1.2649062,118
48,Germany,51.0834196,10.4234469,12
49,Venezuela,8.0018709,-66.1109318,16
50,Georgia,32.3293809,-83.1137366,7
51,America,37.09024,-95.712891,628
52,England,52.5310214,-1.2649062,118
53,England,52.5310214,-1.2649062,118
54,Brasil,-10.3333333,-53.2,32
55,America,37.09024,-95.712891,628
56,America,37.09024,-95.712891,628
57,United Kingdom,54.7023545,-3.2765753,62
58,America,37.09024,-95.712891,628
59,America,37.09024,-95.712891,628
60,France,46.603354,1.8883335,45
61,France,46.603354,1.8883335,45
62,America,37.09024,-95.712891,628
63,America,37.09024,-95.712891,628
64,Canada,61.0666922,-107.9917071,70
65,America,37.09024,-95.712891,628
66,Kenya,1.4419683,38.4313975,7
67,England,52.5310214,-1.2649062,118
68,Holland,52.5001698,5.7480821,12
69,America,37.09024,-95.712891,628
70,America,37.09024,-95.712891,628
71,America,37.09024,-95.712891,628
72,America,37.09024,-95.712891,628
73,England,52.5310214,-1.2649062,118
74,Canada,61.0666922,-107.9917071,70
75,United Kingdom,54.7023545,-3.2765753,62
76,Columbia,2.8894434,-73.783892,11
77,Ghana,8.0300284,-1.0800271,4
78,England,52.5310214,-1.2649062,118
79,America,37.09024,-95.712891,628
80,Dominican Republic,19.0974031,-70.3028026,1
81,Venezuela,8.0018709,-66.1109318,16
82,Argentina,-34.9964963,-64.9672817,22
83,America,37.09024,-95.712891,628
84,America,37.09024,-95.712891,628
85,America,37.09024,-95.712891,628
86,Canada,61.0666922,-107.9917071,70
87,America,37.09024,-95.712891,628
88,India,22.3511148,78.6677428,66
89,America,37.09024,-95.712891,628
90,United Arab Emirates ,24.0002488,53.9994829,2
91,France,46.603354,1.8883335,45
92,France,46.603354,1.8883335,45
93,America,37.09024,-95.712891,628
94,Colombia,2.8894434,-73.783892,14
95,United Kingdom,54.7023545,-3.2765753,62
